The Killing Fields,1984,7.8,"['Biography', 'Drama', 'History', 'War']","English, French, Central Khmer, Russian"
Against All Odds,1984,5.9,"['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']","English, Spanish"
Blood Simple,1984,7.5,"['Dark Comedy', 'Crime', 'Drama', 'Thriller']","English, Spanish"
Wheels on Meals,1984,7.0,"['Buddy Comedy', 'Martial Arts', 'Action', 'Comedy', 'Crime', 'Romance']","Cantonese, English"
Too Scared to Scream,1984,5.1,"['Slasher Horror', 'Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",English
Sohni Mahiwal,1984,6.1,"['Action', 'Drama', 'Romance']","Punjabi, Hindi"
Jumanji: The Next Level,2019,6.6,"['Body Swap Comedy', 'HighConcept Comedy', 'Action', 'Adventure', 'Comedy', 'Fantasy']",English
Good Boys,2019,6.7,"['ComingofAge', 'Raunchy Comedy', 'Adventure', 'Comedy']",English
Child's Play,2019,5.7,"['Cyber Thriller', 'Slasher Horror', 'Drama', 'Horror', 'SciFi', 'Thriller']","English, Vietnamese"
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,2019,7.8,"['Adult Animation', 'Anime', 'Isekai', 'Sword  Sorcery', 'Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",Japanese
Yellow Rose,2019,6.6,"['ComingofAge', 'Drama', 'Music']",English
Sound! Euphonium the Movie - Our Promise: A Brand New Day,2019,7.3,"['Anime', 'Animation', 'Drama', 'Music']",Japanese
QT8: The First Eight,2019,7.3,['Documentary'],English
Olympic Dreams,2019,5.8,"['Extreme Sport', 'Comedy', 'Romance', 'Sport']",English
Tremors,2019,6.6,['Drama'],Spanish
Draupadi Unleashed,2019,4.8,['Drama'],English
Cold Blood,2019,4.7,"['Action', 'Thriller']",English
Fast Food Nation,2006,6.3,"['Satire', 'Comedy', 'Drama']","English, Spanish"
Breaking and Entering,2006,6.5,"['Crime', 'Drama', 'Romance']","English, SerboCroatian"
The Call of Wild,2006,6.9,"['Documentary', 'Family']",English
Islander,2006,6.4,['Drama'],English
Bronco Bullfrog,1970,6.6,"['Comedy', 'Drama']",English
When Dinosaurs Ruled the Earth,1970,5.1,"['Dinosaur Adventure', 'Adventure', 'Fantasy', 'Romance', 'SciFi']","Aboriginal, English"
Hell Boats,1970,5.5,"['Drama', 'War']","English, Italian, German"
Cold Sweat,1970,5.7,"['Action', 'Crime', 'Drama', 'Thriller']","English, French"
The Pizza Triangle,1970,7.1,"['Farce', 'Slapstick', 'Tragic Romance', 'Comedy', 'Drama', 'Romance']",Italian
The Looking Glass War,1970,5.8,"['Spy', 'Action', 'Drama', 'Thriller']","English, German"
Even Dwarfs Started Small,1970,6.7,"['Dark Comedy', 'Comedy', 'Drama']",German
Skullduggery,1970,4.7,['Adventure'],English
Original Cast Album: Company,1970,8.0,"['Documentary', 'Music']",English
The Rise and Rise of Michael Rimmer,1970,6.9,"['Satire', 'Comedy']",English
Bedroom Mazurka,1970,4.8,['Comedy'],Danish
Wilbur and the Baby Factory,1970,4.3,['Comedy'],English
Super Troopers 2,2018,6.0,"['Comedy', 'Crime', 'Mystery']",English
Mia and the White Lion,2018,6.5,"['Animal Adventure', 'Adventure', 'Drama', 'Family']",English
Best F(r)iends Volume Two,2018,4.9,"['Comedy', 'Drama', 'Mystery', 'Thriller']",English
Big Momma's House,2000,5.2,"['Action', 'Comedy', 'Crime']",English
Gone in 60 Seconds,2000,6.5,"['Car Action', 'Action', 'Crime', 'Thriller']",English
Bring It On,2000,6.1,"['Teen Comedy', 'Comedy', 'Romance', 'Sport']",English
Quills,2000,7.2,"['Period Drama', 'Biography', 'Drama']","English, Latin"
Groove,2000,6.6,"['Drama', 'Music']",English
Bread and Roses,2000,7.0,"['Psychological Drama', 'Workplace Drama', 'Drama']","English, Spanish"
Chopper,2000,7.1,"['Dark Comedy', 'True Crime', 'Biography', 'Crime', 'Drama']",English
Paragraph 175,2000,7.7,"['Documentary', 'History', 'Romance', 'War']","English, German, French"
Shadow Hours,2000,5.7,"['Drama', 'Thriller']",English
Water Drops on Burning Rocks,2000,6.7,"['Comedy', 'Drama', 'Romance']","French, German"
Chinese Coffee,2000,7.1,['Drama'],English
Legends of the Fall,1994,7.5,"['Epic', 'Period Drama', 'Romantic Epic', 'Tragedy', 'Western Epic', 'Drama', 'Romance', 'War', 'Western']","English, Cornish"
On Deadly Ground,1994,4.6,"['OnePerson Army Action', 'Action', 'Adventure', 'Thriller']","English, Inuktitut"
Baby's Day Out,1994,6.2,"['Slapstick', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family']",English
Mixed Nuts,1994,5.4,"['Comedy', 'Drama']",English
Hell,1994,7.0,"['Crime', 'Drama', 'Thriller']",French
The NeverEnding Story III,1994,3.2,"['Adventure', 'Comedy', 'Family', 'Fantasy']",English
Red Sun Rising,1994,5.3,"['Dark Comedy', 'Action']",English
Dragonworld,1994,5.4,"['Adventure', 'Family', 'Fantasy']",English
The Wizard of the Emerald City,1994,5.0,"['Adventure', 'Family', 'Fantasy']",Russian
Forever Young,1992,6.3,"['Time Travel', 'Drama', 'Romance', 'SciFi']",English
Encino Man,1992,5.8,"['Slapstick', 'Comedy']",English
Mr. Saturday Night,1992,5.9,"['Comedy', 'Drama']",English

A Picture of You,2013,6.3,['Drama'],English
Insidious: The Red Door,2023,5.5,"['Supernatural Horror', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']",English
The Color Purple,2023,6.8,"['Drama', 'Musical']",English
Jawan,2023,6.9,"['Action Epic', 'OnePerson Army Action', 'Action', 'Crime', 'Drama', 'Thriller']",Hindi
BTS: Yet to Come in Cinemas,2023,8.6,"['Documentary', 'Music']",Korean
The Beast,2023,6.5,"['Drama', 'Romance', 'SciFi', 'Thriller']","French, English"
Every Body,2023,6.6,['Documentary'],English
Mars Express,2023,7.5,"['Adult Animation', 'Artificial Intelligence', 'Cyber Thriller', 'Action', 'Animation', 'Mystery', 'SciFi', 'Thriller']",French
The League,2023,7.4,"['Sports Documentary', 'Documentary', 'Sport']",English
High & Low - John Galliano,2023,7.1,"['Biography', 'Documentary']","English, French"
Rare Objects,2023,5.3,['Drama'],"English, Spanish"
Total Trust,2023,7.1,['Documentary'],"Mandarin, English"
Senior Year: Love Never Fails,2023,7.8,"['Drama', 'Family', 'Romance', 'Sport']",English
The Fourth Kind,2009,5.9,"['Found Footage Horror', 'Psychological Horror', 'Psychological Thriller', 'Horror', 'Mystery', 'SciFi', 'Thriller']","English, Aboriginal"
A Perfect Getaway,2009,6.5,"['Drama', 'Mystery', 'Thriller']",English
Get Low,2009,7.0,"['Drama', 'Mystery']",English
Today's Special,2009,6.6,['Comedy'],"English, Hindi"
My Dog Tulip,2009,6.9,"['Animation', 'Drama']",English
City of Life and Death,2009,7.7,"['Drama', 'History', 'War']","Mandarin, English, Japanese, German"
Collapse,2009,7.7,['Documentary'],English
Oh My God,2009,6.1,"['Faith  Spirituality Documentary', 'Documentary']",English
Stolen,2009,6.1,"['Crime', 'Drama', 'Mystery']",English
Last Ride,2009,6.6,"['Tragedy', 'Crime', 'Drama']",English
Falling Awake,2009,5.9,"['Romance', 'Thriller']",English
Exam,2009,6.7,"['Psychological Thriller', 'Crime', 'Mystery', 'Thriller']","English, French, Cantonese"
Time Bandits,1981,6.9,"['Dark Fantasy', 'Fantasy Epic', 'Farce', 'Globetrotting Adventure', 'Quest', 'Satire', 'Steampunk', 'Time Travel', 'Adventure', 'Comedy']",English
The Legend of the Lone Ranger,1981,4.9,"['Superhero', 'Action', 'Adventure', 'Drama', 'Western']",English
First Monday in October,1981,6.4,"['Comedy', 'Drama']",English
Victory,1981,6.6,"['Soccer', 'Drama', 'Sport', 'War']","English, German, French"
Rubber Tarzan,1981,6.4,"['Drama', 'Family']",Danish
Rasputin,1981,7.0,"['Biography', 'Drama', 'History']",Russian
Firecracker,1981,5.6,"['Martial Arts', 'Action', 'Drama', 'Thriller']",English
Bloody Moon,1981,5.2,"['Giallo', 'Slasher Horror', 'Horror', 'Mystery', 'Thriller']","German, Spanish"
Three Brothers,1981,7.1,['Drama'],Italian
Lovely But Deadly,1981,4.1,"['Action', 'Drama', 'Thriller']",English
Orgasmo caliente,1981,4.9,['Drama'],Spanish
Magic Mike XXL,2015,5.6,"['Comedy', 'Drama', 'Music']",English
Joy,2015,6.6,"['Docudrama', 'Period Drama', 'Workplace Drama', 'Biography', 'Drama']","English, Spanish, French"
Hot Pursuit,2015,5.1,"['Dark Comedy', 'Action', 'Comedy', 'Crime']","English, Spanish"
The Man Who Knew Infinity,2015,7.2,"['Biography', 'Drama']","English, French, Sanskrit"
Anomalisa,2015,7.2,"['Adult Animation', 'Stop Motion Animation', 'Animation', 'Comedy', 'Drama', 'Romance']","English, Italian, Japanese"
Jane Got a Gun,2015,5.9,"['Period Drama', 'Action', 'Drama', 'Western']",English
A Journey Through Time with Antony,2015,5.3,"['Drama', 'Romance']",Mandarin
The Beauty Inside,2015,7.3,"['Korean Drama', 'Drama', 'Fantasy', 'Romance']","Korean, Japanese, Czech, English"
L'attesa,2015,6.5,['Drama'],"Italian, French"
Disorder,2015,6.2,"['Drama', 'Thriller']",French
Uncertain,2015,7.2,"['Comedy', 'Documentary', 'Drama']",English
The French Dispatch,2021,7.1,"['Quirky Comedy', 'Comedy', 'Drama', 'Romance']","English, French"
Werewolves Within,2021,6.0,"['Quirky Comedy', 'Supernatural Horror', 'Werewolf Horror', 'Whodunnit', 'Comedy', 'Horror', 'Mystery', 'Thriller']",English
The Forgiven,2021,6.1,"['Epic', 'Drama']","English, Arabic, French"
A Mouthful of Air,2021,6.1,"['Tragedy', 'Drama']",English
Christmas vs. The Walters,2021,4.5,"['Comedy', 'Drama', 'Family']",English
Torn,2021,7.5,['Documentary'],English
Holy Frit,2021,7.8,['Documentary'],English
Beba,2021,6.3,['Documentary'],"Spanish, English"
Hold Your Fire,2021,6.8,"['Crime Documentary', 'Crime', 'Documentary', 'History']",English
The Power of the Dog,2021,6.8,"['Period Drama', 'Psychological Drama', 'Drama', 'Western']",English
Candy,1968,5.1,"['Satire', 'Adventure', 'Comedy', 'Fantasy']","English, Welsh"
Charly,1968,6.9,"['Psychological Drama', 'Drama', 'Romance', 'SciFi']",English
Carry on Up the Khyber,1968,6.8,"['Parody', 'Satire', 'Slapstick', 'Adventure', 'Comedy']",English
Voyage to the Planet of Prehistoric Women,1968,2.9,"['Adventure', 'SciFi']",English
Guns for San Sebastian,1968,6.6,"['Spaghetti Western', 'Action', 'Adventure', 'Drama', 'Western']",English
The Boys of Paul Street,1968,7.8,"['Tragedy', 'Drama']",Hungarian
Hot Millions,1968,6.8,"['Caper', 'Comedy', 'Crime']",English
Sweet November,1968,6.8,"['Romantic Comedy', 'Comedy', 'Drama', 'Romance']",English
Lonesome Cowboys,1968,5.2,"['Parody', 'Comedy', 'Crime', 'Drama', 'Western']",English
"Samoa, Queen of the Jungle",1968,4.6,"['Adventure', 'Crime', 'Romance', 'Thriller']",Italian
Live by Night,2016,6.4,"['Dark Comedy', 'Gangster', 'Action', 'Crime', 'Drama', 'Thriller']","English, Spanish"
Rules Don't Apply,2016,5.7,"['Comedy', 'Drama', 'Romance']",English
The Patriarch,2016,6.9,['Comedy'],Spanish
Shin Godzilla,2016,6.8,"['Body Horror', 'Dinosaur Adventure', 'Disaster', 'Kaiju', 'Monster Horror', 'Supernatural Horror', 'Tragedy', 'Action', 'Drama', 'Horror']","Japanese, Japanese Sign Language, English, German"
The Women's Balcony,2016,6.6,"['Comedy', 'Drama']",Hebrew
Te3n,2016,7.2,"['Crime', 'Drama', 'Mystery', 'Thriller']",Hindi
After the Storm,2016,7.4,"['Comedy', 'Drama']",Japanese
Jeremiah Tower: The Last Magnificent,2016,6.6,"['Biography', 'Documentary']",English
The Heart of Nuba,2016,8.4,"['Biography', 'Documentary', 'War']",English
Summer Catch,2001,5.1,"['Romantic Comedy', 'Comedy', 'Drama', 'Romance', 'Sport']",English
Brotherhood of the Wolf,2001,7.0,"['Conspiracy Thriller', 'Martial Arts', 'Monster Horror', 'Quest', 'Werewolf Horror', 'Action', 'Adventure', 'Drama', 'Horror', 'Thriller']","French, German, Italian"
The Affair of the Necklace,2001,6.0,"['Period Drama', 'Drama', 'History', 'Romance']",English
Beyond Vanilla,2001,5.3,['Documentary'],English
A House on a Hill,2001,5.9,['Drama'],English
Staying on Top,2001,5.1,"['Erotic Thriller', 'Steamy Romance', 'Drama', 'Romance', 'Thriller']",English
A Crack in the Floor,2001,3.2,"['Slasher Horror', 'Horror']",English
Spies Like Us,1985,6.4,"['Buddy Comedy', 'Farce', 'Parody', 'Adventure', 'Comedy']","English, Russian"
The Mean Season,1985,6.1,"['Crime', 'Thriller']",English
The Bride,1985,5.4,"['Fantasy', 'Horror', 'Romance', 'SciFi']",English
Mr. Vampire,1985,7.3,"['Slapstick', 'Supernatural Horror', 'Vampire Horror', 'Action', 'Comedy', 'Fantasy', 'Horror']",Cantonese
Streetwalkin',1985,5.8,"['Action', 'Drama', 'Thriller']",English
Steaming,1985,5.8,['Drama'],English
Cocaine Wars,1985,4.3,"['Action', 'Drama']",English
Walking the Edge,1985,6.1,"['Action', 'Crime', 'Drama', 'Thriller']",English
Pyar Jhukta Nahin,1985,6.5,"['Family', 'Romance']",Hindi
Ghar Dwaar,1985,7.3,['Drama'],Hindi
Walter and Carlo - Up on Daddys Hat,1985,5.4,['Comedy'],Danish
Zabardast,1985,5.0,"['Action', 'Drama']",Hindi
Kama Sutra: A Tale of Love,1996,6.0,"['Steamy Romance', 'Crime', 'Drama', 'History', 'Romance']","English, Italian"
Temptress Moon,1996,6.6,"['Drama', 'Romance']",Mandarin
Shootfighter II,1996,4.9,['Action'],English
Magic in the Mirror,1996,5.4,"['Adventure', 'Comedy', 'Family', 'Fantasy']",English
Danger Zone,1996,4.4,"['Action', 'Drama']",English
Supermarket Woman,1996,7.3,"['Farce', 'Satire', 'Comedy', 'Romance']",Japanese
My Name Is Nobody,1973,7.3,"['Buddy Comedy', 'Spaghetti Western', 'Comedy', 'Drama', 'Western']",Italian
Pigs,1973,4.8,['Horror'],English
Please Don't Eat My Mother!,1973,3.7,"['Comedy', 'Horror']",English
Blume in Love,1973,6.2,"['Comedy', 'Drama', 'Romance']",English
The Optimists,1973,6.6,['Drama'],English
Oh Olsun,1973,7.2,"['Comedy', 'Romance']",Turkish
Le grand bazar,1973,6.3,['Comedy'],French
"Black God, White Devil",1964,7.2,"['Adventure', 'Crime', 'Drama', 'Western']",Portuguese
Ensign Pulver,1964,5.9,"['Comedy', 'Drama', 'War']",English
Loving Couples,1964,6.6,"['Drama', 'Romance']",Swedish
Carry on Jack,1964,5.9,"['Parody', 'Adventure', 'Comedy', 'Romance']",English
Intentions of Murder,1964,7.6,['Drama'],Japanese
"Sandy, the Reluctant Nature Girl",1964,6.1,['Comedy'],English
Mark of the Tortoise,1964,6.0,"['Action', 'Crime', 'Thriller']",German
"Fight, Zatoichi, Fight",1964,7.4,"['Action', 'Adventure', 'Drama']",Japanese
Sehrazat,1964,5.1,"['Adventure', 'Crime', 'Thriller']",Turkish
Orgy of the Dead,1965,3.0,"['Fantasy', 'Horror']",English
Shadows of Forgotten Ancestors,1965,7.8,"['Drama', 'Romance']",Ukrainian
7 uomini d'oro,1965,6.6,"['Caper', 'Heist', 'Comedy', 'Crime', 'Drama']","Italian, French"
"São Paulo, Sociedade Anônima",1965,8.1,['Drama'],"Portuguese, English"
Halløj i himmelsengen,1965,4.9,"['Comedy', 'Romance']",Danish
Mister Moses,1965,6.1,"['Adventure', 'Romance']",English
Tokyo Olympiad,1965,7.8,"['Documentary', 'Sport']",Japanese
Sleuth,1972,7.9,"['Mystery', 'Thriller']","English, Italian"
Asylum,1972,6.5,"['Supernatural Horror', 'Horror']",English
Girls on the Road,1972,4.4,"['Comedy', 'Drama', 'Thriller']",English
"Dracula, Prisoner of Frankenstein",1972,4.1,['Horror'],Spanish
Apradh,1972,7.0,"['Action', 'Romance', 'Thriller']",Hindi
Les galets d'Étretat,1972,4.9,"['Drama', 'Romance', 'Thriller']",French
Vacation Temptations,1972,4.8,['Comedy'],German
Stadium Nuts,1972,6.1,"['Comedy', 'Romance', 'Sport']",French
Deception,2008,6.0,"['Erotic Thriller', 'Crime', 'Drama', 'Mystery', 'Thriller']","English, Spanish, Cantonese"
Transsiberian,2008,6.6,"['Crime', 'Drama', 'Mystery', 'Thriller']","English, Russian, Spanish, Mandarin, French"
Until the Light Takes Us,2008,7.0,"['Documentary', 'Music']",English
Beautiful Losers,2008,7.0,"['Documentary', 'Music']",English
Bart Got a Room,2008,5.7,"['Comedy', 'Drama', 'Romance']",English
The Betrayal,2008,7.0,['Documentary'],"English, Lao"
The Windmill Movie,2008,6.1,['Documentary'],English
An American Affair,2008,6.1,"['Political Drama', 'Drama']",English
Vanished Empire,2008,6.8,['Drama'],Russian
Run for Your Life,2008,6.9,"['Biography', 'Documentary', 'History', 'Sport']",English
Lower Learning,2008,4.0,['Comedy'],English
House of Usher,2008,3.1,"['Horror', 'Thriller']",English
The Chaser,2008,7.8,"['True Crime', 'Action', 'Crime', 'Drama', 'Thriller']",Korean
How to Deal,2003,5.6,"['Comedy', 'Drama', 'Romance']",English
The Triplets of Belleville,2003,7.7,"['Satire', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Music', 'Sport']","French, Portuguese"
Armaan,2003,5.3,"['Drama', 'Family', 'Romance']",Hindi
Control,2003,7.6,"['Dark Comedy', 'Satire', 'Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",Hungarian
Darna Mana Hai,2003,6.3,['Horror'],Hindi
Bulgarian Lovers,2003,5.9,"['Comedy', 'Crime', 'Drama', 'Romance']","English, Spanish, Bulgarian"
Tom Dowd & the Language of Music,2003,8.2,"['Documentary', 'Music']",English
Song for a Raggy Boy,2003,7.5,"['Drama', 'History']",English
B*A*P*S,1997,4.8,"['Satire', 'Comedy']","English, Italian"
Zeus and Roxanne,1997,5.3,"['Animal Adventure', 'Adventure', 'Comedy', 'Family', 'Romance']",English
Dangerous Ground,1997,4.5,"['Action', 'Crime', 'Drama', 'Thriller']","English, Zulu"
The Sweet Hereafter,1997,7.4,"['Tragedy', 'Drama']",English
The Education of Little Tree,1997,7.1,['Drama'],English
The Ride,1997,6.5,"['Animal Adventure', 'Contemporary Western', 'Teen Drama', 'Drama', 'Family', 'Sport', 'Western']",English
Made in Hong Kong,1997,7.5,"['Comedy', 'Crime', 'Drama', 'Romance']",Cantonese
Marquise,1997,5.9,"['Costume Drama', 'Period Drama', 'Comedy', 'Drama', 'History']","French, Latin"
Doraemon: Nobita and the Spiral City,1997,6.6,"['Anime', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'SciFi']",Japanese
Flushed,1997,4.8,['Comedy'],English
Once More,1997,6.8,"['Comedy', 'Drama', 'Romance']",Tamil
The Great Impostor,1960,6.9,"['Quest', 'Comedy', 'Drama']","English, Korean"
Jis Desh Men Ganga Behti Hai,1960,7.1,"['Drama', 'Musical', 'Romance']",Hindi
La caperucita roja,1960,5.7,"['Drama', 'Fantasy']",Spanish
Beyond the Curtain,1960,5.9,['Drama'],English
Randevou stin Kerkyra,1960,5.7,"['Comedy', 'Romance']",Greek
Maa Baap,1960,7.1,"['Family', 'Romance']",Hindi
El impostor,1960,6.6,['Drama'],Spanish
Schindler's List,1993,9.0,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Prison Drama', 'Tragedy', 'Biography', 'Drama', 'History']","English, Hebrew, German, Polish, Latin"
Sommersby,1993,6.3,"['Drama', 'Mystery', 'Romance']",English
Amos & Andrew,1993,5.7,"['Satire', 'Comedy', 'Crime']","English, Spanish"
Aspen Extreme,1993,6.0,"['Drama', 'Romance', 'Sport']",English
Excessive Force,1993,5.3,['Action'],English
Theremin: An Electronic Odyssey,1993,7.3,"['Biography', 'Documentary', 'History', 'Music']","English, Russian"
Zero Patience,1993,6.2,['Musical'],"English, French"
Twenty Bucks,1993,6.3,"['Dark Comedy', 'Comedy', 'Drama']",English
Point of Impact,1993,3.6,"['Action', 'Crime', 'Drama', 'Thriller']",English
Hercules Returns,1993,7.2,"['Satire', 'Comedy']",English
Secret Games 2: The Escort,1993,4.4,"['Erotic Thriller', 'Drama', 'Thriller']",English
Daughter of Darkness,1993,5.8,"['Comedy', 'Horror', 'Thriller']",Cantonese
The Mule,2018,7.0,"['Contemporary Western', 'Drug Crime', 'True Crime', 'Crime', 'Drama', 'Thriller']","English, Spanish"
The Nutcracker and the Four Realms,2018,5.6,"['Holiday Family', 'Quest', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Holiday']","English, French"
12 Strong,2018,6.5,"['Action', 'Drama', 'History', 'War']","English, Dari, Russian, Spanish, Uzbek"
Slender Man,2018,3.3,"['Psychological Horror', 'Supernatural Horror', 'Teen Horror', 'Horror', 'Mystery', 'Thriller']",English
Traffik,2018,5.9,"['Action', 'Thriller']",English
Echo in the Canyon,2018,7.0,"['Documentary', 'Music']",English
Made for More,2018,6.3,['Documentary'],English
Profile,2018,6.7,"['Cyber Thriller', 'Political Thriller', 'Psychological Thriller', 'Spy', 'Mystery', 'Thriller']","English, Arabic"
The Cold Blue,2018,7.7,"['Documentary', 'War']",English
Mobile Suit Gundam: NT - Narrative,2018,6.1,"['Anime', 'Mecha', 'Action', 'Animation', 'Drama', 'SciFi']",Japanese
The Guilty,2018,7.5,"['Cop Drama', 'Crime', 'Drama', 'Thriller']",Danish
Museo,2018,6.8,"['Crime', 'Drama']","Spanish, English"
The Reports on Sarah and Saleem,2018,7.2,"['Crime', 'Drama', 'Mystery', 'Romance', 'War']","Arabic, Hebrew, English"
Where Hands Touch,2018,6.6,"['Drama', 'Romance', 'War']",English
Being Frank,2018,6.1,['Comedy'],English
The Adventures of Rocky & Bullwinkle,2000,4.3,"['Road Trip', 'Slapstick', 'Adventure', 'Comedy', 'Family', 'Fantasy']",English
The Dish,2000,7.2,"['Dark Comedy', 'Comedy', 'Drama', 'History']",English
Backstage,2000,5.8,['Documentary'],English
The Circle,2000,7.4,['Drama'],Persian
Grateful Dawg,2000,7.2,['Documentary'],English
The Independent,2000,5.9,"['Parody', 'Satire', 'Comedy']",English
The Vertical Ray of the Sun,2000,7.2,"['Drama', 'Romance']",Vietnamese
La ville est tranquille,2000,7.2,['Drama'],"French, English, Italian, German"
Thomas est amoureux,2000,7.0,"['Comedy', 'Drama', 'Romance', 'SciFi']",French
Some Voices,2000,6.5,"['Comedy', 'Drama']",English
Clear and Present Danger,1994,6.9,"['Conspiracy Thriller', 'Political Thriller', 'Spy', 'Action', 'Crime', 'Drama', 'Thriller']","English, Spanish"
The Endless Summer 2,1994,7.6,"['Water Sport', 'Adventure', 'Documentary', 'Sport']",English
Little Odessa,1994,6.7,"['Crime', 'Drama']",English
Double Happiness,1994,7.1,"['Drama', 'Romance']","English, Cantonese"
Swimming with Sharks,1994,7.0,"['Dark Comedy', 'Satire', 'Showbiz Drama', 'Comedy', 'Crime']",English
Nastya,1994,6.9,"['Comedy', 'Romance']",Russian
Temptation,1994,4.6,['Thriller'],English
Tom and Jerry: The Movie,1992,5.4,"['Animal Adventure', 'Buddy Comedy', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",English
Bitter Moon,1992,7.2,"['Dark Romance', 'Erotic Thriller', 'Drama', 'Romance', 'Thriller']","English, French"
A Heart in Winter,1992,7.6,"['Drama', 'Music', 'Romance']",French
The Magic Voyage,1992,3.5,"['Adventure', 'Animation', 'Family', 'Fantasy']","German, English"
Lady Dragon,1992,5.0,"['Action', 'Crime', 'Drama']","English, Indonesian"
The Fencing Master,1992,6.7,"['Drama', 'Fantasy', 'History', 'Thriller']",Spanish
Carnal Knowledge,1971,6.9,"['Dark Comedy', 'Comedy', 'Drama']",English
Johnny Got His Gun,1971,7.8,"['Drama', 'War']",English
Devil's Nightmare,1971,6.0,"['Fantasy', 'Horror']",French
The Third Part of the Night,1971,7.3,"['Drama', 'Horror', 'War']",Polish
The Velvet Vampire,1971,5.3,"['Vampire Horror', 'Horror']",English
Born to Win,1971,5.8,"['Comedy', 'Crime', 'Drama']",English
The Female Bunch,1971,4.3,"['Action', 'Crime', 'Drama', 'Western']",English
Kill! Kill! Kill! Kill!,1971,4.7,"['Action', 'Crime', 'Drama', 'Thriller']",English
The Ceremony,1971,7.2,"['Satire', 'Comedy', 'Drama']",Japanese
Jo,1971,7.1,"['Comedy', 'Crime', 'Thriller']","French, English"
Wild Riders,1971,4.6,"['Crime', 'Thriller']",English
The Insatiable,1971,6.2,['Drama'],Japanese
Rambo III,1988,5.8,"['OnePerson Army Action', 'Action', 'Adventure', 'Thriller']","English, Russian"
Sunset,1988,5.7,"['Dark Comedy', 'Satire', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Western']","English, Spanish"
Earth Girls Are Easy,1988,5.5,"['Romantic Comedy', 'Comedy', 'Musical', 'Romance', 'SciFi']",English
Kansas,1988,5.5,"['Crime', 'Drama', 'Romance', 'Thriller']",English
The Decline of Western Civilization Part II: The Metal Years,1988,7.2,"['Documentary', 'Music']",English
Man Behind the Sun,1988,6.1,"['Drama', 'History', 'Horror', 'War']",Mandarin
Yesterday,1988,8.9,['Drama'],"Bulgarian, English"
Straight for the Heart,1988,6.8,"['Drama', 'Romance', 'War']",French
